#   M	    K	    N	     v33
 3072	  768	 3072	0.044160
 3072	  768	 3328	0.045387
 3072	  768	 3584	0.050502
 3072	  768	 3840	0.051222
 3072	  768	 4096	0.052188
 3328	  768	  256	0.008623
 3328	  768	  512	0.011304
 3328	  768	  768	0.016105
 3328	  768	 1024	0.016161
 3328	  768	 1280	0.016405
 3328	  768	 1536	0.029532
 3328	  768	 1792	0.031038
 3328	  768	 2048	0.036035
 3328	  768	 2304	0.033892
 3328	  768	 2560	0.040751
 3328	  768	 2816	0.042969
 3328	  768	 3072	0.050284
 3328	  768	 3328	0.050232
 3328	  768	 3584	0.056784
 3328	  768	 3840	0.054120
 3328	  768	 4096	0.062255
 3584	  768	  256	0.009192
 3584	  768	  512	0.010976
 3584	  768	  768	0.014097
 3584	  768	 1024	0.016134
 3584	  768	 1280	0.028066
 3584	  768	 1536	0.029744
 3584	  768	 1792	0.030570
 3584	  768	 2048	0.031342
 3584	  768	 2304	0.034490
 3584	  768	 2560	0.048971
 3584	  768	 2816	0.050169
 3584	  768	 3072	0.046606
 3584	  768	 3328	0.049694
 3584	  768	 3584	0.052007
 3584	  768	 3840	0.061891
 3584	  768	 4096	0.069691
 3840	  768	  256	0.008644
 3840	  768	  512	0.011346
 3840	  768	  768	0.016099
 3840	  768	 1024	0.018497
 3840	  768	 1280	0.029435
 3840	  768	 1536	0.029918
 3840	  768	 1792	0.035884
 3840	  768	 2048	0.034367
 3840	  768	 2304	0.041231
 3840	  768	 2560	0.044870
 3840	  768	 2816	0.053504
 3840	  768	 3072	0.054254
 3840	  768	 3328	0.054441
 3840	  768	 3584	0.061605
 3840	  768	 3840	0.066592
 3840	  768	 4096	0.066638
 4096	  768	  256	0.008659
 4096	  768	  512	0.010924
 4096	  768	  768	0.016129
 4096	  768	 1024	0.016383
 4096	  768	 1280	0.029462
 4096	  768	 1536	0.031638
 4096	  768	 1792	0.031504
 4096	  768	 2048	0.034273
 4096	  768	 2304	0.043270
 4096	  768	 2560	0.045957
 4096	  768	 2816	0.051253
 4096	  768	 3072	0.052722
 4096	  768	 3328	0.060839
 4096	  768	 3584	0.071327
 4096	  768	 3840	0.067250
 4096	  768	 4096	0.069815
  256	 1024	  256	0.007797
  256	 1024	  512	0.006544
  256	 1024	  768	0.007517
  256	 1024	 1024	0.007748
  256	 1024	 1280	0.007857
  256	 1024	 1536	0.007742
  256	 1024	 1792	0.007904
  256	 1024	 2048	0.007824
  256	 1024	 2304	0.009562
  256	 1024	 2560	0.009829
  256	 1024	 2816	0.009752
  256	 1024	 3072	0.009722
  256	 1024	 3328	0.009661
  256	 1024	 3584	0.009794
  256	 1024	 3840	0.009764
  256	 1024	 4096	0.009749
  512	 1024	  256	0.007740
  512	 1024	  512	0.007788
  512	 1024	  768	0.007827
  512	 1024	 1024	0.007848
  512	 1024	 1280	0.009840
  512	 1024	 1536	0.009705
  512	 1024	 1792	0.010063
  512	 1024	 2048	0.010100
  512	 1024	 2304	0.011970
  512	 1024	 2560	0.012464
  512	 1024	 2816	0.012014
  512	 1024	 3072	0.012063
  512	 1024	 3328	0.013519
  512	 1024	 3584	0.013575
  512	 1024	 3840	0.012740
  512	 1024	 4096	0.013585
  768	 1024	  256	0.007771
  768	 1024	  512	0.007819
  768	 1024	  768	0.009829
  768	 1024	 1024	0.009682
  768	 1024	 1280	0.010163
  768	 1024	 1536	0.011929
  768	 1024	 1792	0.012037
  768	 1024	 2048	0.013422
  768	 1024	 2304	0.013503
  768	 1024	 2560	0.012765
  768	 1024	 2816	0.013583
  768	 1024	 3072	0.020657
  768	 1024	 3328	0.020882
  768	 1024	 3584	0.019950
  768	 1024	 3840	0.017260
  768	 1024	 4096	0.021296
 1024	 1024	  256	0.007795
 1024	 1024	  512	0.007919
 1024	 1024	  768	0.009564
 1024	 1024	 1024	0.010147
 1024	 1024	 1280	0.011955
 1024	 1024	 1536	0.012894
 1024	 1024	 1792	0.013524
 1024	 1024	 2048	0.012877
 1024	 1024	 2304	0.016962
 1024	 1024	 2560	0.017008
 1024	 1024	 2816	0.020991
 1024	 1024	 3072	0.019899
 1024	 1024	 3328	0.019931
 1024	 1024	 3584	0.020190
 1024	 1024	 3840	0.020430
 1024	 1024	 4096	0.020775
 1280	 1024	  256	0.008066
 1280	 1024	  512	0.010018
 1280	 1024	  768	0.010145
 1280	 1024	 1024	0.012036
 1280	 1024	 1280	0.013589
 1280	 1024	 1536	0.014640
 1280	 1024	 1792	0.019706
 1280	 1024	 2048	0.021136
 1280	 1024	 2304	0.019904
 1280	 1024	 2560	0.019961
