#   M	    K	    N	     v33
  368	 1024	 2048	0.014578
  384	 1024	 2048	0.014539
  400	 1024	 2048	0.014311
  416	 1024	 2048	0.014156
  432	 1024	 2048	0.014207
  448	 1024	 2048	0.014308
  464	 1024	 2048	0.014294
  480	 1024	 2048	0.014493
  496	 1024	 2048	0.015066
  512	 1024	 2048	0.015099
  768	 1024	 2048	0.018027
 1024	 1024	 2048	0.019036
 1536	 1024	 2048	0.026771
 2048	 1024	 2048	0.025286
 3072	 1024	 2048	0.047956
 4096	 1024	 2048	0.054911
 7168	 1024	 2048	0.082444
 8192	 1024	 2048	0.084753
11264	 1024	 2048	0.121993
12280	 1024	 2048	0.126133
15360	 1024	 2048	0.160152
16384	 1024	 2048	0.164878
    1	 2048	    1	0.011001
    2	 2048	    1	0.012057
    4	 2048	    1	0.011988
    8	 2048	    1	0.012057
   16	 2048	    1	0.012178
   24	 2048	    1	0.012004
   32	 2048	    1	0.012272
   40	 2048	    1	0.012207
   48	 2048	    1	0.012193
   56	 2048	    1	0.012144
   64	 2048	    1	0.012303
   72	 2048	    1	0.012338
   80	 2048	    1	0.012282
   88	 2048	    1	0.012178
   96	 2048	    1	0.012443
  104	 2048	    1	0.012395
  112	 2048	    1	0.012399
  120	 2048	    1	0.012326
  128	 2048	    1	0.012482
  136	 2048	    1	0.012526
  144	 2048	    1	0.012758
  152	 2048	    1	0.012510
  160	 2048	    1	0.012356
  168	 2048	    1	0.012584
  176	 2048	    1	0.012614
  184	 2048	    1	0.012573
  192	 2048	    1	0.012411
  200	 2048	    1	0.012788
  208	 2048	    1	0.012804
  216	 2048	    1	0.013155
  224	 2048	    1	0.013037
  232	 2048	    1	0.013308
  240	 2048	    1	0.013449
  248	 2048	    1	0.013439
  256	 2048	    1	0.013404
  272	 2048	    1	0.013369
  288	 2048	    1	0.013347
  304	 2048	    1	0.013427
  320	 2048	    1	0.013441
  336	 2048	    1	0.013551
  352	 2048	    1	0.013436
  368	 2048	    1	0.013607
  384	 2048	    1	0.013657
  400	 2048	    1	0.013794
  416	 2048	    1	0.013508
  432	 2048	    1	0.013676
  448	 2048	    1	0.013680
  464	 2048	    1	0.013981
  480	 2048	    1	0.013877
  496	 2048	    1	0.014359
  512	 2048	    1	0.014180
  768	 2048	    1	0.014852
 1024	 2048	    1	0.016288
 1536	 2048	    1	0.018034
 2048	 2048	    1	0.019002
 3072	 2048	    1	0.022618
 4096	 2048	    1	0.026051
 7168	 2048	    1	0.033913
 8192	 2048	    1	0.034748
11264	 2048	    1	0.048057
12280	 2048	    1	0.052851
15360	 2048	    1	0.060853
16384	 2048	    1	0.062880
