#   M	    K	    N	     v33
  168	 1024	 2048	0.007805
  176	 1024	 2048	0.007819
  184	 1024	 2048	0.007796
  192	 1024	 2048	0.007821
  200	 1024	 2048	0.007877
  208	 1024	 2048	0.007892
  216	 1024	 2048	0.007877
  224	 1024	 2048	0.007896
  232	 1024	 2048	0.007837
  240	 1024	 2048	0.007838
  248	 1024	 2048	0.007847
  256	 1024	 2048	0.007860
  272	 1024	 2048	0.009494
  288	 1024	 2048	0.009483
  304	 1024	 2048	0.009514
  320	 1024	 2048	0.009475
  336	 1024	 2048	0.009455
  352	 1024	 2048	0.009449
  368	 1024	 2048	0.009615
  384	 1024	 2048	0.009573
  400	 1024	 2048	0.009593
  416	 1024	 2048	0.009616
  432	 1024	 2048	0.009617
  448	 1024	 2048	0.009638
  464	 1024	 2048	0.009613
  480	 1024	 2048	0.009661
  496	 1024	 2048	0.010144
  512	 1024	 2048	0.010133
  768	 1024	 2048	0.013431
 1024	 1024	 2048	0.012903
 1536	 1024	 2048	0.021320
 2048	 1024	 2048	0.020306
 3072	 1024	 2048	0.041531
 4096	 1024	 2048	0.050637
 7168	 1024	 2048	0.079000
 8192	 1024	 2048	0.085726
11264	 1024	 2048	0.130870
12280	 1024	 2048	0.140856
15360	 1024	 2048	0.170423
16384	 1024	 2048	0.169318
    1	 2048	    1	0.006902
    2	 2048	    1	0.007879
    4	 2048	    1	0.007894
    8	 2048	    1	0.007755
   16	 2048	    1	0.007785
   24	 2048	    1	0.007782
   32	 2048	    1	0.007793
   40	 2048	    1	0.007763
   48	 2048	    1	0.007777
   56	 2048	    1	0.007790
   64	 2048	    1	0.007779
   72	 2048	    1	0.007898
   80	 2048	    1	0.007908
   88	 2048	    1	0.007920
   96	 2048	    1	0.007924
  104	 2048	    1	0.007935
  112	 2048	    1	0.007943
  120	 2048	    1	0.007990
  128	 2048	    1	0.007982
  136	 2048	    1	0.008016
  144	 2048	    1	0.008004
  152	 2048	    1	0.008021
  160	 2048	    1	0.008038
  168	 2048	    1	0.008047
  176	 2048	    1	0.008026
  184	 2048	    1	0.008017
  192	 2048	    1	0.008026
  200	 2048	    1	0.008285
